_id,Collection Site,Analyte,Collection Date,Collection Time,Lab Workoder ID,Lab Sample ID,Result,Units,Detection Limit,Result Call,Method,Value Qualifier,Remark Code,_id,NAME,LOCATION,STATUS,FIRST_YR,LAST_YR,TOTAL_YRS,MISS_YRS,LATITUDE,LONGITUDE
76043,10000100302,Lead,09/13/2021,14:45:00,2882,2882002,<7,µg/L,7,BDL,E3497,<,,1067,Turkey Creek,"Morton Dr.,  Sw Of Windsor",A,2001,2021,21,0,42.24458188748,-83.07082048495
76293,10000100302,Lead,05/10/2021,10:15:00,1421,1421002,<21,µg/L,21,BDL,E3497,<,,1067,Turkey Creek,"Morton Dr.,  Sw Of Windsor",A,2001,2021,21,0,42.24458188748,-83.07082048495
76619,10000100302,Lead,12/13/2021,12:30:00,4160,4160002,<7,µg/L,7,BDL,E3497,<,,1067,Turkey Creek,"Morton Dr.,  Sw Of Windsor",A,2001,2021,21,0,42.24458188748,-83.07082048495
76743,10000100302,Lead,11/08/2021,14:40:00,3733,3733006,<7,µg/L,7,BDL,E3497,<,,1067,Turkey Creek,"Morton Dr.,  Sw Of Windsor",A,2001,2021,21,0,42.24458188748,-83.07082048495
77037,10000100302,Lead,10/26/2021,11:30:00,3465,3465002,<7,µg/L,7,BDL,E3497,<,,1067,Turkey Creek,"Morton Dr.,  Sw Of Windsor",A,2001,2021,21,0,42.24458188748,-83.07082048495
77373,10000100302,Lead,04/12/2021,14:25:00,1212,1212004,<21,µg/L,21,BDL,E3497,<,,1067,Turkey Creek,"Morton Dr.,  Sw Of Windsor",A,2001,2021,21,0,42.24458188748,-83.07082048495
77709,10000100302,Lead,08/16/2021,15:35:00,2601,2601002,<7,µg/L,7,BDL,E3497,<,,1067,Turkey Creek,"Morton Dr.,  Sw Of Windsor",A,2001,2021,21,0,42.24458188748,-83.07082048495
78003,10000100302,Lead,06/07/2021,14:00:00,1742,1742002,<21,µg/L,21,BDL,E3497,<,,1067,Turkey Creek,"Morton Dr.,  Sw Of Windsor",A,2001,2021,21,0,42.24458188748,-83.07082048495
76085,10000200202,Lead,09/14/2021,0:00:00,2882,2882003,<70,µg/L,70,BDL,E3497,<,,1069,Canard River,"Conc 6, Anderton Twp,  3Km S.Of Lukerville",A,1975,2020,42,4,42.1590596374,-83.0187954849
76334,10000200202,Lead,05/10/2021,10:45:00,1421,1421003,<7,µg/L,7,BDL,E3497,<,,1069,Canard River,"Conc 6, Anderton Twp,  3Km S.Of Lukerville",A,1975,2020,42,4,42.1590596374,-83.0187954849
76785,10000200202,Lead,11/08/2021,14:00:00,3733,3733005,<7,µg/L,7,BDL,E3497,<,,1069,Canard River,"Conc 6, Anderton Twp,  3Km S.Of Lukerville",A,1975,2020,42,4,42.1590596374,-83.0187954849
77079,10000200202,Lead,10/26/2021,12:15:00,3465,3465003,<7,µg/L,7,BDL,E3497,<,,1069,Canard River,"Conc 6, Anderton Twp,  3Km S.Of Lukerville",A,1975,2020,42,4,42.1590596374,-83.0187954849
77415,10000200202,Lead,04/13/2021,0:00:00,1212,1212002,<7,µg/L,7,BDL,E3497,<,,1069,Canard River,"Conc 6, Anderton Twp,  3Km S.Of Lukerville",A,1975,2020,42,4,42.1590596374,-83.0187954849
77751,10000200202,Lead,08/17/2021,14:20:00,2601,2601008,<7,µg/L,7,BDL,E3497,<,,1069,Canard River,"Conc 6, Anderton Twp,  3Km S.Of Lukerville",A,1975,2020,42,4,42.1590596374,-83.0187954849
